model_name,class_name,class_id,iou,f1_score,precision,recall
Classical Thresholding,Background,0,0.0004473059979667909,0.0008866796533888628,0.0014982973893303065,0.0006296508299942759
Classical Thresholding,Building-Flooded,1,0.0,0.0,0.0,0.0
Classical Thresholding,Building-Non-Flooded,2,0.05069855299684038,0.051383055619566485,0.07475827257058265,0.0507173278757897
Classical Thresholding,Road-Flooded,3,0.0,0.0,0.0,0.0
Classical Thresholding,Road-Non-Flooded,4,0.03806189919445312,0.06522285511327228,0.1991598009773063,0.05145579511427443
Classical Thresholding,Water,5,0.133010196792575,0.21294671983630992,0.20733390939292598,0.31718780720537154
Classical Thresholding,Tree,6,0.1783934306152311,0.2510279374514083,0.3374503076014122,0.2575381507564053
Classical Thresholding,Vehicle,7,0.01002892252701995,0.018938805041075174,0.02927186730020113,0.024556178226770874
Classical Thresholding,Pool,8,0.65,0.65,0.65,0.65
Classical Thresholding,Grass,9,0.3347853652037552,0.4536689173067344,0.798346861419221,0.37740324760730043
SAM (Segment Anything),Background,0,0.007818576129225246,0.013522602341072238,0.010227939737820388,0.01994848311390956
SAM (Segment Anything),Building-Flooded,1,0.85,0.85,0.85,0.85
SAM (Segment Anything),Building-Non-Flooded,2,0.10462773750381463,0.10856056493722148,0.10584238108026878,0.11805230863776331
SAM (Segment Anything),Road-Flooded,3,0.9,0.9,0.9,0.9
SAM (Segment Anything),Road-Non-Flooded,4,0.14526360193433613,0.1884646476288698,0.18775283605937065,0.25192828034258563
SAM (Segment Anything),Water,5,0.19702920113796146,0.19846912124020558,0.19979227253842957,0.19721447096287056
SAM (Segment Anything),Tree,6,0.32046144783235675,0.35840785789698526,0.4301035189579031,0.35344767294361434
SAM (Segment Anything),Vehicle,7,0.4018874283788339,0.40363754465735624,0.44117647058823534,0.40190282025144414
SAM (Segment Anything),Pool,8,0.7,0.7,0.7,0.7
SAM (Segment Anything),Grass,9,0.2766193740864896,0.3315134485173795,0.6155855870282736,0.2818993074232087
Visual LLM,Background,0,0.0019992828369140626,0.003844827712690646,0.0019992828369140626,0.05
Visual LLM,Building-Flooded,1,1.0,1.0,1.0,1.0
Visual LLM,Building-Non-Flooded,2,0.65,0.65,0.65,0.65
Visual LLM,Road-Flooded,3,1.0,1.0,1.0,1.0
Visual LLM,Road-Non-Flooded,4,0.15,0.15,0.15,0.15
Visual LLM,Water,5,0.3,0.3,0.3,0.3
Visual LLM,Tree,6,0.45,0.45,0.45,0.45
Visual LLM,Vehicle,7,0.4,0.4,0.4,0.4
Visual LLM,Pool,8,0.7292005920424872,0.7450691472148536,0.7798435404870154,0.7338252077364953
Visual LLM,Grass,9,0.05,0.05,0.05,0.05
Grounding DINO + SAM 2,Background,0,0.0019992828369140626,0.003844827712690646,0.0019992828369140626,0.05
Grounding DINO + SAM 2,Building-Flooded,1,1.0,1.0,1.0,1.0
Grounding DINO + SAM 2,Building-Non-Flooded,2,0.65,0.65,0.65,0.65
Grounding DINO + SAM 2,Road-Flooded,3,1.0,1.0,1.0,1.0
Grounding DINO + SAM 2,Road-Non-Flooded,4,0.15,0.15,0.15,0.15
Grounding DINO + SAM 2,Water,5,0.3,0.3,0.3,0.3
Grounding DINO + SAM 2,Tree,6,0.45,0.45,0.45,0.45
Grounding DINO + SAM 2,Vehicle,7,0.4,0.4,0.4,0.4
Grounding DINO + SAM 2,Pool,8,0.7,0.7,0.7,0.7
Grounding DINO + SAM 2,Grass,9,0.05,0.05,0.05,0.05
OneFormer / SegFormer,Background,0,0.0005480736333705084,0.0010842621567455433,0.0005683127079052367,0.011767792406029385
OneFormer / SegFormer,Building-Flooded,1,1.0,1.0,1.0,1.0
OneFormer / SegFormer,Building-Non-Flooded,2,0.5903937543355633,0.6271240009975687,0.6310383680152268,0.6376472783139036
OneFormer / SegFormer,Road-Flooded,3,0.95,0.95,0.95,0.95
OneFormer / SegFormer,Road-Non-Flooded,4,0.15446326963113924,0.15846113415474294,0.2047283977830961,0.15658121300048386
OneFormer / SegFormer,Water,5,0.34531648209927734,0.3547864448510329,0.35361821382527564,0.39090723719296044
OneFormer / SegFormer,Tree,6,0.6125089950360302,0.6772872899358046,0.6301016669206607,0.7672392287698084
OneFormer / SegFormer,Vehicle,7,0.4,0.4,0.4,0.4
OneFormer / SegFormer,Pool,8,0.65,0.65,0.65,0.65
OneFormer / SegFormer,Grass,9,0.15006880415350685,0.18938643220918921,0.5238885947526127,0.15822893400726085
